order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
0,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$1/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$1/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-0,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n0,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
1,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$2/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$2/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-1,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n1,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
2,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$3/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$3/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-2,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n2,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
3,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$4/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$4/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-3,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n3,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
4,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$5/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$5/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-4,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n4,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
5,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$6/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$6/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-5,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n5,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
6,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$7/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$7/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-6,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n6,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
7,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$8/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$8/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-7,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n7,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
8,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$9/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$9/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-8,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n8,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
9,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$10/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$10/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-9,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n9,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
10,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$11/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$11/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-10,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n10,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
11,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$12/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$12/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-11,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n11,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
12,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$13/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$13/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-12,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n12,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
13,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$14/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$14/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-13,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n13,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
14,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$15/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1919$15/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1919-14,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919#page/n14,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1919,0.0,1000,1000,0,0,1000,1000
