order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
0,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$1/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$1/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-0,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n0,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
1,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$2/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$2/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-1,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n1,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
2,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$3/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$3/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-2,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n2,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
3,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$4/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$4/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-3,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n3,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
4,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$5/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$5/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-4,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n4,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
5,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$6/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$6/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-5,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n5,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
6,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$7/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$7/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-6,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n6,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
7,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$8/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$8/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-7,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n7,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
8,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$9/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$9/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-8,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n8,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
9,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$10/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$10/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-9,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n9,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
10,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$11/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$11/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-10,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n10,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
11,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$12/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$12/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-11,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n11,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
12,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$13/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$13/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-12,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n12,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
13,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$14/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$14/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-13,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n13,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
14,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$15/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$15/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-14,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n14,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
15,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$16/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$16/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-15,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n15,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
16,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$17/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Brooklyn_1929$17/full/100,100/0/default.jpg",NYC_Marriage_Index_Brooklyn_1929-16,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929#page/n16,https://archive.org/details/NYC_Marriage_Index_Brooklyn_1929,0.0,1000,1000,0,0,1000,1000
