order,file_path,thumbnail,capture_uuid,page_uri,book_uri,source_rotated,width,height,source_x,source_y,source_w,source_h
0,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$1/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-0,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n0,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
1,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$2/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-1,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n1,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
2,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$3/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$3/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-2,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n2,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
3,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$4/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$4/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-3,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n3,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
4,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$5/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$5/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-4,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n4,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
5,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$6/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$6/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-5,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n5,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
6,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$7/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$7/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-6,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n6,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
7,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$8/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$8/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-7,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n7,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
8,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$9/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$9/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-8,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n8,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
9,"https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$10/full/1500,/0/default.jpg","https://iiif.archivelab.org/iiif/NYC_Marriage_Index_Manhattan_1908$10/full/100,100/0/default.jpg",NYC_Marriage_Index_Manhattan_1908-9,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908#page/n9,https://archive.org/details/NYC_Marriage_Index_Manhattan_1908,0.0,1000,1000,0,0,1000,1000
